GameDate,OffenseTeam,Dome
21/12/14,NO,1
21/12/14,NYJ,
21/12/14,STL,1
21/12/14,CHI,
22/12/14,CIN,
28/12/14,SF,
28/12/14,TEN,
28/12/14,ATL,1
28/12/14,SEA,
28/12/14,WAS,
28/12/14,GB,
28/12/14,DEN,
28/12/14,NE,
28/12/14,HOU,1
28/12/14,NYG,
28/12/14,KC,
28/12/14,MIA,
28/12/14,TB,
28/12/14,PIT,
28/12/14,MIN,
28/12/14,BAL,
13/9/15,SD,
13/9/15,BUF,
13/9/15,NYJ,
13/9/15,OAK,
13/9/15,ARI,1
13/9/15,JAC,
13/9/15,DEN,
13/9/15,DAL,1
13/9/15,STL,1
13/9/15,HOU,1
13/9/15,CHI,
13/9/15,WAS,
13/9/15,TB,
14/9/15,SF,
14/9/15,ATL,1
17/9/15,KC,
20/9/15,NYG,
20/9/15,BUF,
20/9/15,NO,1
20/9/15,WAS,
20/9/15,CAR,
20/9/15,MIN,
20/9/15,CIN,
20/9/15,CLE,
20/9/15,OAK,
20/9/15,GB,
20/9/15,CHI,
20/9/15,PIT,
20/9/15,PHI,
20/9/15,JAC,
21/9/15,IND,1
24/9/15,NYG,
27/9/15,HOU,1
27/9/15,STL,1
27/9/15,CAR,
27/9/15,MIA,
27/9/15,NYJ,
27/9/15,ARI,1
27/9/15,DAL,1
27/9/15,NE,
27/9/15,MIN,
27/9/15,CLE,
27/9/15,SEA,
27/9/15,TEN,
27/9/15,BAL,
27/9/15,DET,1
28/9/15,GB,
15/10/15,NO,1
18/10/15,TEN,
18/10/15,NYJ,
18/10/15,SEA,
18/10/15,CLE,
18/10/15,BUF,
18/10/15,JAC,
18/10/15,SF,
18/10/15,MIN,
18/10/15,IND,1
18/10/15,GB,
18/10/15,DET,1
18/10/15,PIT,
19/10/15,PHI,
22/10/15,SF,
25/10/15,NYG,
25/10/15,SD,
25/10/15,WAS,
25/10/15,NE,
25/10/15,CAR,
25/10/15,STL,1
25/10/15,IND,1
25/10/15,TEN,
25/10/15,JAC,
25/10/15,KC,
25/10/15,DET,1
25/10/15,MIA,
26/10/15,ARI,1
29/10/15,NE,
15/11/15,STL,1
15/11/15,BAL,
15/11/15,SEA,
15/11/15,NYG,
15/11/15,TEN,
15/11/15,TB,
15/11/15,OAK,
15/11/15,DEN,
15/11/15,PHI,
15/11/15,GB,
15/11/15,WAS,
15/11/15,PIT,
16/11/15,CIN,
19/11/15,JAC,
22/11/15,ATL,1
22/11/15,PHI,
22/11/15,CHI,
22/11/15,SEA,
22/11/15,ARI,1
22/11/15,DET,1
22/11/15,CAR,
22/11/15,BAL,
22/11/15,HOU,1
22/11/15,MIA,
22/11/15,SD,
22/11/15,MIN,
23/11/15,NE,
26/11/15,DAL,1
26/11/15,GB,
26/11/15,DET,1
29/11/15,NYJ,
29/11/15,ATL,1
29/11/15,KC,
29/11/15,JAC,
29/11/15,TEN,
29/11/15,DEN,
29/11/15,HOU,1
29/11/15,WAS,
29/11/15,CIN,
29/11/15,SEA,
29/11/15,IND,1
29/11/15,SF,
30/11/15,CLE,
13/12/15,TB,
13/12/15,PHI,
13/12/15,KC,
13/12/15,NYJ,
13/12/15,BAL,
13/12/15,JAC,
13/12/15,GB,
13/12/15,CIN,
13/12/15,CAR,
13/12/15,CLE,
13/12/15,DEN,
13/12/15,HOU,1
13/12/15,CHI,
13/12/15,STL,1
14/12/15,MIA,
17/12/15,STL,1
19/12/15,DAL,1
20/12/15,SEA,
20/12/15,SD,
20/12/15,WAS,
20/12/15,MIN,
20/12/15,JAC,
20/12/15,BAL,
20/12/15,PHI,
20/12/15,OAK,
20/12/15,SF,
20/12/15,NE,
20/12/15,IND,1
20/12/15,PIT,
20/12/15,NYG,
21/12/15,NO,1
24/12/15,OAK,
26/12/15,PHI,
27/12/15,TB,
27/12/15,NYJ,
27/12/15,MIA,
27/12/15,MIN,
27/12/15,ATL,1
27/12/15,BUF,
27/12/15,BAL,
27/12/15,DET,1
27/12/15,SEA,
27/12/15,KC,
27/12/15,NO,1
27/12/15,TEN,
27/12/15,ARI,1
28/12/15,DEN,
16/1/16,ARI,1
16/1/16,NE,
17/1/16,DEN,
17/1/16,CAR,
24/1/16,CAR,
24/1/16,DEN,
5/9/13,DEN,
8/9/13,NYJ,
8/9/13,BUF,
8/9/13,STL,1
8/9/13,CAR,
8/9/13,DET,1
8/9/13,CHI,
8/9/13,JAC,
8/9/13,DAL,1
8/9/13,PIT,
8/9/13,CLE,
8/9/13,SF,
8/9/13,IND,1
8/9/13,NO,1
12/9/13,NE,
3/10/13,CLE,
6/10/13,ARI,1
6/10/13,GB,
6/10/13,IND,1
6/10/13,TEN,
6/10/13,MIA,
6/10/13,SF,
6/10/13,CHI,
6/10/13,OAK,
6/10/13,NYG,
6/10/13,STL,1
6/10/13,CIN,
6/10/13,DAL,1
7/10/13,ATL,1
3/11/13,STL,1
3/11/13,HOU,1
3/11/13,WAS,
3/11/13,NYJ,
3/11/13,CAR,
3/11/13,BUF,
3/11/13,SEA,
3/11/13,NE,
3/11/13,CLE,
3/11/13,DAL,1
3/11/13,OAK,
4/11/13,GB,
7/11/13,MIN,
10/11/13,SF,
10/11/13,IND,1
10/11/13,ATL,1
10/11/13,TEN,
10/11/13,SD,
10/11/13,NYG,
10/11/13,CHI,
10/11/13,GB,
10/11/13,ARI,1
