dates,location,team,city,state,offense,year
8/12/13,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2013
8/12/13,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2013
9/12/13,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2013
4/1/14,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2014
4/1/14,Philadelphia Eagles,Philadelphia Eagles,Philadelphia,PA,PHI,2014
5/1/14,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2014
5/1/14,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2014
11/1/14,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2014
11/1/14,New England Patriots,New England Patriots,Foxboro,MA,NE,2014
12/1/14,Denver Broncos,Denver Broncos,Denver,CO,DEN,2014
12/1/14,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2014
19/1/14,Denver Broncos,Denver Broncos,Denver,CO,DEN,2014
19/1/14,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2014
2/2/14,Superbowl 2014,Seattle Seahawks,East_Rutherford,NJ,SB14,2014
4/9/14,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2014
7/9/14,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2014
7/9/14,Houston Texans,Houston Texans,Houston,TX,HOU,2014
7/9/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2014
7/9/14,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2014
7/9/14,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2014
7/9/14,Denver Broncos,Denver Broncos,Denver,CO,DEN,2014
7/9/14,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2014
7/9/14,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2014
7/9/14,Philadelphia Eagles,Philadelphia Eagles,Philadelphia,PA,PHI,2014
7/9/14,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2014
7/9/14,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2014
7/9/14,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2014
7/9/14,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2014
8/9/14,Detroit Lions,Detroit Lions,Detroit,MI,DET,2014
8/9/14,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2014
11/9/14,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2014
2/10/14,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2014
5/10/14,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2014
5/10/14,Denver Broncos,Denver Broncos,Denver,CO,DEN,2014
5/10/14,New England Patriots,New England Patriots,Foxboro,MA,NE,2014
5/10/14,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville,FL,JAC,2014
5/10/14,Detroit Lions,Detroit Lions,Detroit,MI,DET,2014
5/10/14,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2014
5/10/14,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2014
5/10/14,Philadelphia Eagles,Philadelphia Eagles,Philadelphia,PA,PHI,2014
5/10/14,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2014
5/10/14,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2014
5/10/14,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2014
5/10/14,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2014
5/10/14,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2014
6/10/14,Washington Redskins,Washington Redskins,Landover,MD,WAS,2014
9/10/14,Houston Texans,Houston Texans,Houston,TX,HOU,2014
12/10/14,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2014
12/10/14,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2014
12/10/14,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2014
12/10/14,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2014
12/10/14,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2014
12/10/14,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2014
12/10/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2014
12/10/14,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2014
12/10/14,Philadelphia Eagles,Philadelphia Eagles,Philadelphia,PA,PHI,2014
12/10/14,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2014
12/10/14,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2014
12/10/14,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2014
12/10/14,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2014
2/11/14,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2014
2/11/14,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2014
2/11/14,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2014
2/11/14,New England Patriots,New England Patriots,Foxboro,MA,NE,2014
2/11/14,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2014
2/11/14,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2014
2/11/14,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2014
2/11/14,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2014
2/11/14,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2014
2/11/14,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2014
2/11/14,Houston Texans,Houston Texans,Houston,TX,HOU,2014
3/11/14,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2014
6/11/14,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2014
9/11/14,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2014
9/11/14,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2014
9/11/14,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2014
9/11/14,Detroit Lions,Detroit Lions,Detroit,MI,DET,2014
9/11/14,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2014
9/11/14,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2014
9/11/14,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2014
9/11/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2014
9/11/14,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2014
9/11/14,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2014
9/11/14,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville,FL,JAC,2014
10/11/14,Philadelphia Eagles,Philadelphia Eagles,Philadelphia,PA,PHI,2014
1/12/14,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2014
4/12/14,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2014
7/12/14,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2014
7/12/14,Denver Broncos,Denver Broncos,Denver,CO,DEN,2014
7/12/14,Washington Redskins,Washington Redskins,Landover,MD,WAS,2014
7/12/14,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2014
7/12/14,Detroit Lions,Detroit Lions,Detroit,MI,DET,2014
7/12/14,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2014
7/12/14,Philadelphia Eagles,Philadelphia Eagles,Philadelphia,PA,PHI,2014
7/12/14,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2014
7/12/14,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2014
7/12/14,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2014
7/12/14,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2014
7/12/14,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville,FL,JAC,2014
7/12/14,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2014
7/12/14,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2014
8/12/14,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2014
11/12/14,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2014
3/1/15,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2015
3/1/15,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2015
4/1/15,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2015
4/1/15,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2015
10/1/15,New England Patriots,New England Patriots,Foxboro,MA,NE,2015
10/1/15,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2015
11/1/15,Denver Broncos,Denver Broncos,Denver,CO,DEN,2015
11/1/15,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2015
18/1/15,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2015
18/1/15,New England Patriots,New England Patriots,Foxboro,MA,NE,2015
1/2/15,Superbowl 2015,Seattle Seahawks,Glendale,AZ,SB15,2015
10/9/15,New England Patriots,New England Patriots,Foxboro,MA,NE,2015
1/10/15,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2015
4/10/15,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2015
4/10/15,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2015
4/10/15,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2015
4/10/15,Denver Broncos,Denver Broncos,Denver,CO,DEN,2015
4/10/15,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2015
4/10/15,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2015
4/10/15,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2015
4/10/15,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2015
4/10/15,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2015
4/10/15,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2015
4/10/15,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2015
4/10/15,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2015
4/10/15,Washington Redskins,Washington Redskins,Landover,MD,WAS,2015
5/10/15,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2015
8/10/15,Houston Texans,Houston Texans,Houston,TX,HOU,2015
11/10/15,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2015
11/10/15,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2015
11/10/15,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2015
11/10/15,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2015
11/10/15,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2015
11/10/15,Philadelphia Eagles,Philadelphia Eagles,Philadelphia,PA,PHI,2015
11/10/15,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2015
11/10/15,Detroit Lions,Detroit Lions,Detroit,MI,DET,2015
11/10/15,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2015
11/10/15,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2015
11/10/15,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2015
11/10/15,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2015
12/10/15,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2015
1/11/15,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2015
1/11/15,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2015
1/11/15,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2015
1/11/15,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2015
